,Team,Sport,Event,Medal,Age,Height,Weight,Cluster
28925,Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,38.0,174.0,72.0,1
28926,West Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,42.0,174.0,72.0,7
28927,West Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold,46.0,174.0,72.0,1
28928,West Germany,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver,49.0,174.0,72.0,4
28929,Austria-1,Bobsleigh,Bobsleigh Men's Four,Gold,29.0,195.0,90.0,1
28930,East Germany,Nordic Combined,Nordic Combined Men's Individual,Bronze,20.0,183.0,77.0,7
28931,East Germany,Nordic Combined,Nordic Combined Men's Individual,Bronze,24.0,183.0,77.0,7
28932,East Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,23.0,184.0,75.0,4
28933,West Germany-1,Luge,Luge Mixed (Men)'s Doubles,Bronze,27.0,178.0,83.0,7
28934,Jamaica,Athletics,Athletics Men's 400 metres,Gold,28.0,194.0,77.0,1
28935,Jamaica,Athletics,Athletics Men's 800 metres,Silver,28.0,194.0,77.0,4
28936,Jamaica,Athletics,Athletics Men's 800 metres,Silver,32.0,194.0,77.0,4
28937,Jamaica,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,32.0,194.0,77.0,1
28938,East Germany,Rowing,Rowing Men's Quadruple Sculls,Gold,24.0,194.0,91.0,1
28939,Australia,Athletics,Athletics Men's Triple Jump,Gold,29.0,181.0,74.0,1
28940,Germany,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,23.0,189.0,88.0,1
28941,France,Athletics,Athletics Men's Discus Throw,Bronze,26.0,177.0,90.0,8
28942,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,20.0,178.0,70.0,2
28943,Denmark,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze,27.0,182.0,73.0,3
28944,Denmark,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,31.0,182.0,73.0,4
28945,Indonesia,Badminton,Badminton Men's Singles,Silver,22.0,171.0,67.0,4
28946,Thailand,Weightlifting,Weightlifting Women's Flyweight,Bronze,24.0,149.0,48.0,7
