,Team,Sport,Event,Medal,Age,Height,Weight
11151,South Korea,Weightlifting,Weightlifting Women's Super-Heavyweight,Silver,20.0,170.0,118.0
11152,South Korea,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold,24.0,170.0,118.0
11153,North Korea,Volleyball,Volleyball Women's Volleyball,Bronze,24.0,173.0,76.0
11154,North Korea,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver,26.0,155.0,50.0
11155,South Korea,Baseball,Baseball Men's Baseball,Bronze,22.0,183.0,79.0
11156,South Korea,Judo,Judo Men's Half-Heavyweight,Silver,26.0,190.0,100.0
11157,South Korea,Handball,Handball Women's Handball,Silver,26.0,163.0,60.0
11158,South Korea,Boxing,Boxing Men's Bantamweight,Bronze,22.0,167.0,54.0
11159,South Korea,Baseball,Baseball Men's Baseball,Gold,25.0,181.0,78.0
11160,South Korea,Archery,Archery Men's Team,Silver,20.0,171.0,65.0
11161,South Korea,Archery,Archery Men's Team,Gold,24.0,171.0,65.0
11162,South Korea,Archery,Archery Men's Team,Gold,28.0,171.0,65.0
11163,Finland,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver,33.0,175.0,65.0
11164,Yugoslavia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,27.0,178.0,83.0
11165,East Germany,Diving,Diving Women's Springboard,Bronze,18.0,160.0,51.0
11166,East Germany,Diving,Diving Women's Platform,Bronze,18.0,160.0,51.0
11167,Poland,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze,23.0,180.0,84.0
11168,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze,27.0,192.0,82.0
11169,Switzerland,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold,23.0,185.0,86.0
11170,Austria,Athletics,Athletics Women's Javelin Throw,Bronze,23.0,180.0,72.0
11171,Yugoslavia,Handball,Handball Women's Handball,Gold,25.0,168.0,60.0
11172,Yugoslavia,Water Polo,Water Polo Men's Water Polo,Silver,24.0,178.0,95.0
11173,Yugoslavia,Water Polo,Water Polo Men's Water Polo,Gold,28.0,178.0,95.0
11174,Poland,Rowing,Rowing Men's Coxed Fours,Bronze,24.0,174.0,72.0
11175,Poland,Rowing,Rowing Men's Coxed Fours,Bronze,29.0,195.0,98.0
11176,Soviet Union,Football,Football Men's Football,Gold,27.0,181.0,81.0
