,Team,Sport,Event,Medal,Age,Height,Weight
11078,United States,Swimming,Swimming Men's 50 metres Freestyle,Bronze,27.0,190.0,82.0
11079,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,27.0,190.0,82.0
11080,Norway,Alpine Skiing,Alpine Skiing Men's Slalom,Gold,25.0,178.0,89.0
11081,Czech Republic,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,25.0,189.0,102.0
11082,Czech Republic,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,33.0,189.0,102.0
11083,East Germany,Rowing,Rowing Women's Double Sculls,Silver,23.0,174.0,69.0
11084,West Germany,Athletics,Athletics Women's 400 metres,Silver,24.0,170.0,57.0
11085,United States,Sailing,Sailing Mixed Three Person Keelboat,Gold,29.0,188.0,89.0
11086,Norway,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,Bronze,20.0,176.0,59.0
11087,Norway,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,20.0,176.0,59.0
11088,Norway,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver,24.0,176.0,59.0
11089,East Germany,Rowing,Rowing Men's Coxed Pairs,Gold,22.0,198.0,94.0
11090,East Germany,Rowing,Rowing Men's Coxed Pairs,Gold,26.0,198.0,94.0
11091,Australia,Rowing,Rowing Men's Coxed Eights,Silver,26.0,204.0,96.0
11092,East Germany,Sailing,Sailing Mixed Three Person Keelboat,Gold,34.0,179.0,89.0
11093,Germany,Sailing,Sailing Mixed Three Person Keelboat,Gold,42.0,179.0,89.0
11094,Germany,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold,22.0,185.0,66.0
11095,Germany,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,26.0,185.0,66.0
11096,Germany-2,Bobsleigh,Bobsleigh Men's Four,Gold,23.0,200.0,113.0
11097,Denmark,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver,22.0,184.0,72.0
11098,Denmark,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze,22.0,184.0,72.0
11099,Sweden,Handball,Handball Men's Handball,Silver,25.0,195.0,98.0
11100,Sweden,Football,Football Women's Football,Silver,26.0,174.0,62.0
11101,Iceland,Handball,Handball Men's Handball,Silver,31.0,196.0,97.0
11102,Finland,Figure Skating,Figure Skating Mixed Pairs,Gold,38.0,174.0,73.0
11103,Finland,Figure Skating,Figure Skating Mixed Pairs,Silver,41.0,174.0,73.0
11104,Finland,Figure Skating,Figure Skating Mixed Pairs,Gold,35.0,165.0,58.0
11105,Finland,Figure Skating,Figure Skating Mixed Pairs,Silver,39.0,165.0,58.0
11106,Germany,Shooting,"Shooting Men's Running Target, 10 metres",Gold,22.0,184.0,85.0
11107,Czech Republic,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze,23.0,185.0,74.0
11108,Germany,Rowing,Rowing Men's Coxed Eights,Silver,23.0,194.0,93.0
11109,Serbia,Water Polo,Water Polo Men's Water Polo,Gold,19.0,197.0,89.0
11110,Poland,Volleyball,Volleyball Women's Volleyball,Bronze,21.0,178.0,66.0
11111,Poland,Volleyball,Volleyball Women's Volleyball,Bronze,25.0,178.0,66.0
11112,East Germany,Football,Football Men's Football,Silver,27.0,188.0,84.0
11113,Iran,Weightlifting,Weightlifting Men's Lightweight,Silver,29.0,170.0,68.0
11114,Finland,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,28.0,173.0,65.5
11115,Bahrain,Athletics,"Athletics Women's 1,500 metres",Bronze,27.0,170.0,61.0
11116,Great Britain,Cycling,Cycling Women's Sprint,Silver,24.0,171.0,66.0
11117,Great Britain,Cycling,Cycling Women's Keirin,Silver,24.0,171.0,66.0
11118,Nigeria,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,20.0,170.0,72.0
11119,Great Britain,Rowing,Rowing Men's Coxless Fours,Silver,27.0,183.0,75.0
11120,Grenada,Athletics,Athletics Men's 400 metres,Gold,19.0,180.0,66.0
11121,Grenada,Athletics,Athletics Men's 400 metres,Silver,23.0,180.0,66.0
11122,United States,Athletics,Athletics Men's 400 metres,Silver,20.0,181.0,70.0
11123,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,20.0,181.0,70.0
11124,United States,Basketball,Basketball Men's Basketball,Bronze,19.0,203.0,114.0
11125,United States,Basketball,Basketball Men's Basketball,Gold,23.0,203.0,114.0
11126,United States,Basketball,Basketball Men's Basketball,Gold,27.0,203.0,114.0
11127,United States,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver,22.0,173.0,90.0
11128,Nigeria,Football,Football Men's Football,Silver,21.0,180.0,70.0
11129,Great Britain,Rowing,Rowing Men's Coxless Fours,Gold,24.0,193.0,93.0
11130,Great Britain,Rowing,Rowing Men's Coxless Fours,Gold,28.0,193.0,93.0
11131,Great Britain,Swimming,Swimming Men's 100 metres Butterfly,Bronze,23.0,190.0,79.0
11132,Great Britain,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,16.0,173.0,60.0
11133,United States,Rowing,Rowing Men's Quadruple Sculls,Silver,27.0,193.0,95.0
11134,Great Britain,Swimming,Swimming Men's 200 metres Breaststroke,Silver,23.0,186.0,81.0
11135,United States,Athletics,Athletics Men's 400 metres,Silver,20.0,173.0,69.0
11136,Estonia,Rowing,Rowing Men's Quadruple Sculls,Bronze,34.0,184.0,90.0
11137,Mongolia,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,25.0,165.0,68.0
11138,West Germany,Fencing,"Fencing Men's epee, Team",Silver,24.0,188.0,78.0
11139,Czechoslovakia,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,31.0,180.0,83.0
11140,Brazil,Volleyball,Volleyball Men's Volleyball,Gold,23.0,195.0,85.0
11141,Brazil,Basketball,Basketball Women's Basketball,Silver,27.0,182.0,67.0
11142,Brazil,Basketball,Basketball Women's Basketball,Bronze,31.0,182.0,67.0
11143,South Korea,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,22.0,158.0,56.0
11144,South Korea,Judo,Judo Men's Lightweight,Silver,25.0,157.0,66.0
11145,South Korea,Hockey,Hockey Women's Hockey,Silver,18.0,164.0,57.0
11146,South Korea,Hockey,Hockey Women's Hockey,Silver,25.0,164.0,57.0
11147,South Korea,Volleyball,Volleyball Women's Volleyball,Bronze,21.0,171.0,64.0
11148,South Korea,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,21.0,173.0,63.0
11149,South Korea,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,25.0,173.0,63.0
11150,South Korea,Taekwondo,Taekwondo Women's Featherweight,Gold,24.0,174.0,57.0
