,Age,Height,Weight,Cluster
286,27.0,178.0,61.0,2
287,31.0,178.0,61.0,2
288,35.0,178.0,61.0,7
289,19.0,169.0,74.0,3
290,23.0,169.0,74.0,8
291,27.0,169.0,74.0,2
292,21.0,173.0,59.0,8
293,21.0,173.0,59.0,8
294,21.0,173.0,59.0,8
295,24.0,183.0,75.0,5
296,26.0,176.0,60.0,2
297,23.0,185.0,67.0,5
298,29.0,175.0,85.0,2
299,22.0,165.0,60.0,8
300,19.0,180.0,76.0,5
301,19.0,180.0,76.0,5
302,23.0,180.0,76.0,5
303,23.0,180.0,76.0,5
304,27.0,180.0,67.0,2
305,23.0,188.0,78.0,5
306,30.0,165.0,60.0,0
307,17.0,147.0,50.0,6
308,24.0,184.0,70.0,5
309,22.0,180.0,73.0,5
310,24.0,163.0,61.0,8
311,28.0,163.0,61.0,0
312,19.0,160.0,53.0,6
313,19.0,160.0,53.0,6
314,27.0,160.0,53.0,0
315,23.0,172.0,90.0,5
316,27.0,172.0,90.0,2
317,19.0,175.0,55.0,3
318,30.0,180.0,117.5,4
319,34.0,180.0,117.5,4
320,22.0,169.0,65.0,8
321,23.0,169.0,60.0,8
322,23.0,169.0,60.0,8
323,20.0,156.0,59.0,6
324,17.0,176.0,68.0,3
325,17.0,168.0,54.0,3
326,26.0,172.0,70.0,2
327,34.0,178.0,74.0,7
328,30.0,175.0,80.0,2
329,29.0,174.0,55.0,0
330,24.0,173.0,64.0,8
331,38.0,169.0,91.0,7
332,23.0,181.0,72.0,5
333,22.0,163.0,56.0,8
334,26.0,163.0,56.0,8
335,24.0,180.0,72.0,5
336,32.0,158.0,58.0,0
337,21.0,185.0,80.0,5
338,22.0,175.0,75.0,5
339,21.0,172.0,66.0,8
340,25.0,172.0,66.0,8
341,25.0,172.0,66.0,8
342,22.0,180.0,59.0,5
343,26.0,166.0,61.0,8
344,26.0,160.0,62.0,8
345,24.0,181.0,73.0,5
346,24.0,181.0,73.0,5
347,24.0,181.0,73.0,5
348,24.0,181.0,73.0,5
349,27.0,164.0,55.0,0
350,20.0,184.0,79.0,5
351,31.0,187.0,83.0,4
352,21.0,188.0,77.0,5
353,21.0,188.0,77.0,5
354,21.0,188.0,77.0,5
355,25.0,188.0,77.0,1
356,28.0,188.0,91.0,4
357,27.0,164.0,60.0,8
358,32.0,164.0,60.0,0
359,22.0,169.0,63.0,8
360,26.0,169.0,63.0,8
361,22.0,190.0,130.0,1
362,26.0,190.0,130.0,1
363,25.0,167.0,55.0,8
364,29.0,167.0,55.0,0
365,33.0,167.0,55.0,0
366,21.0,170.0,47.0,8
367,27.0,175.0,74.0,2
368,16.0,162.0,72.0,3
369,20.0,162.0,72.0,8
370,23.0,168.0,68.0,8
371,20.0,168.0,62.0,3
372,15.0,170.0,59.0,3
373,19.0,170.0,59.0,3
374,19.0,170.0,59.0,3
375,18.0,150.0,60.0,6
376,19.0,181.0,66.0,5
377,23.0,181.0,66.0,5
378,33.0,178.0,74.0,2
379,21.0,162.0,69.0,8
380,25.0,162.0,69.0,8
381,23.0,202.0,104.0,1
382,22.0,178.0,73.0,5
383,19.0,183.0,74.0,5
384,23.0,183.0,74.0,5
385,26.0,172.0,74.0,2
386,29.0,192.0,117.0,4
387,26.0,172.0,60.0,8
388,26.0,170.0,84.0,2
389,30.0,170.0,84.0,2
390,34.0,170.0,84.0,7
391,26.0,190.0,125.0,1
392,34.0,190.0,125.0,4
393,24.0,174.0,72.0,2
394,32.0,174.0,72.0,2
395,18.0,162.0,54.0,3
396,24.0,177.0,75.0,2
397,24.0,178.0,67.0,2
398,24.0,178.0,67.0,2
399,28.0,178.0,67.0,2
400,28.0,178.0,67.0,2
401,25.0,166.0,69.0,8
402,23.0,168.0,68.0,8
403,25.0,167.0,62.0,8
404,22.0,175.0,64.0,8
405,22.0,175.0,64.0,8
406,26.0,175.0,64.0,2
407,23.0,173.0,68.0,8
408,23.0,173.0,68.0,8
409,24.0,178.0,70.0,2
410,28.0,178.0,70.0,2
411,21.0,179.0,91.0,5
412,29.0,179.0,91.0,4
413,26.0,166.0,57.0,8
414,21.0,190.0,80.0,5
415,25.0,190.0,80.0,1
416,29.0,190.0,80.0,4
417,28.0,170.0,60.0,0
418,18.0,168.0,60.0,3
419,31.0,175.0,67.0,2
420,22.0,177.0,75.0,5
421,21.0,160.0,50.0,6
422,21.0,160.0,50.0,6
423,22.0,173.0,62.0,8
424,23.0,170.0,51.0,8
425,27.0,180.0,83.0,2
426,31.0,180.0,83.0,2
427,22.0,194.0,92.0,1
428,26.0,194.0,92.0,1
429,19.0,169.0,48.0,3
430,19.0,190.0,73.0,5
431,20.0,163.0,52.0,8
432,23.0,185.0,102.0,1
433,19.0,183.0,80.0,5
434,23.0,183.0,80.0,5
435,19.0,160.0,48.0,6
436,19.0,160.0,48.0,6
437,19.0,160.0,48.0,6
438,16.0,160.0,62.0,3
439,20.0,160.0,62.0,8
440,20.0,160.0,62.0,8
441,24.0,160.0,62.0,8
442,24.0,160.0,62.0,8
443,25.0,165.0,55.0,8
444,25.0,165.0,55.0,8
445,25.0,165.0,55.0,8
446,25.0,165.0,55.0,8
447,25.0,163.0,46.0,8
448,29.0,163.0,46.0,0
449,22.0,184.0,85.0,5
450,30.0,184.0,85.0,4
451,18.0,153.0,48.0,6
452,18.0,153.0,48.0,6
453,18.0,153.0,48.0,6
454,22.0,176.0,66.0,5
455,37.0,174.0,63.0,7
456,23.0,173.0,61.0,8
457,22.0,166.0,58.0,8
458,24.0,192.0,68.0,5
459,27.0,186.0,84.0,4
460,30.0,186.0,84.0,4
461,34.0,186.0,84.0,4
462,23.0,181.0,76.0,5
463,19.0,181.0,78.0,5
464,17.0,190.0,73.0,5
465,30.0,170.0,60.0,0
466,27.0,181.0,78.0,2
467,23.0,187.0,75.0,5
468,34.0,165.0,75.0,7
469,38.0,165.0,75.0,7
470,40.0,165.0,75.0,7
471,44.0,165.0,75.0,7
472,48.0,165.0,75.0,7
473,22.0,182.0,84.0,5
474,24.0,173.0,66.0,8
475,21.0,159.0,40.0,6
476,21.0,159.0,40.0,6
477,25.0,159.0,40.0,6
478,25.0,159.0,40.0,6
479,30.0,160.0,53.0,0
480,30.0,160.0,53.0,0
481,20.0,180.0,74.0,5
482,24.0,166.0,52.0,8
483,26.0,180.0,80.0,2
484,30.0,180.0,80.0,2
485,42.0,180.0,80.0,7
486,23.0,177.0,68.0,5
487,27.0,177.0,68.0,2
488,31.0,177.0,68.0,2
489,21.0,179.0,63.0,5
490,19.0,156.0,46.0,6
491,22.0,179.0,72.0,5
492,27.0,160.0,78.0,8
493,19.0,169.0,62.0,3
494,24.0,173.0,53.0,8
495,27.0,162.0,56.0,0
496,25.0,172.0,82.0,2
497,29.0,172.0,82.0,2
498,27.0,168.0,60.0,8
499,31.0,168.0,60.0,0
500,24.0,159.0,54.0,8
501,35.0,170.0,68.0,7
502,28.0,159.0,54.0,0
503,32.0,159.0,54.0,0
504,22.0,150.0,43.0,6
505,26.0,164.0,58.0,8
506,29.0,163.0,48.0,0
507,21.0,175.0,75.0,5
508,22.0,169.0,68.0,8
509,26.0,169.0,68.0,8
510,30.0,169.0,68.0,2
511,19.0,182.0,68.0,5
512,19.0,161.0,62.0,3
513,19.0,161.0,62.0,3
514,19.0,161.0,62.0,3
515,24.0,161.0,62.0,8
516,24.0,161.0,62.0,8
517,24.0,174.0,62.0,8
518,23.0,182.0,78.0,5
519,20.0,176.0,70.0,5
520,17.0,170.0,53.0,3
521,22.0,190.0,78.0,5
522,26.0,175.0,61.0,2
523,26.0,175.0,61.0,2
524,19.0,169.0,60.0,3
525,17.0,166.0,60.0,3
526,17.0,166.0,60.0,3
527,17.0,166.0,60.0,3
528,25.0,168.0,59.0,8
529,30.0,197.0,92.0,4
530,30.0,197.0,92.0,4
531,27.0,210.0,88.0,1
532,28.0,170.0,64.0,2
533,28.0,170.0,64.0,2
534,32.0,170.0,64.0,0
535,32.0,170.0,64.0,0
536,24.0,175.0,74.0,2
537,25.0,186.0,86.0,1
538,33.0,186.0,86.0,4
539,41.0,186.0,86.0,7
540,27.0,188.0,85.0,4
541,29.0,205.0,102.0,1
542,20.0,168.0,54.0,3
543,30.0,181.0,76.0,2
544,30.0,182.0,79.0,2
545,22.0,187.0,82.0,5
546,30.0,187.0,82.0,4
547,21.0,170.0,48.0,8
548,20.0,171.0,65.0,3
549,21.0,190.0,65.0,5
550,25.0,190.0,65.0,2
551,22.0,170.0,51.0,8
552,23.0,175.0,75.0,5
553,22.0,178.0,67.0,5
554,31.0,180.0,64.0,2
555,28.0,183.0,85.0,2
556,21.0,188.0,87.0,5
557,21.0,188.0,87.0,5
558,25.0,188.0,87.0,1
559,25.0,188.0,87.0,1
560,26.0,178.0,81.0,2
