,Age,Height,Weight
399,28.0,178.0,67.0
400,28.0,178.0,67.0
401,25.0,166.0,69.0
402,23.0,168.0,68.0
403,25.0,167.0,62.0
404,22.0,175.0,64.0
405,22.0,175.0,64.0
406,26.0,175.0,64.0
407,23.0,173.0,68.0
408,23.0,173.0,68.0
409,24.0,178.0,70.0
410,28.0,178.0,70.0
411,21.0,179.0,91.0
412,29.0,179.0,91.0
413,26.0,166.0,57.0
414,21.0,190.0,80.0
415,25.0,190.0,80.0
416,29.0,190.0,80.0
417,28.0,170.0,60.0
418,18.0,168.0,60.0
419,31.0,175.0,67.0
420,22.0,177.0,75.0
421,21.0,160.0,50.0
422,21.0,160.0,50.0
423,22.0,173.0,62.0
424,23.0,170.0,51.0
425,27.0,180.0,83.0
426,31.0,180.0,83.0
427,22.0,194.0,92.0
428,26.0,194.0,92.0
429,19.0,169.0,48.0
430,19.0,190.0,73.0
431,20.0,163.0,52.0
432,23.0,185.0,102.0
433,19.0,183.0,80.0
434,23.0,183.0,80.0
435,19.0,160.0,48.0
436,19.0,160.0,48.0
437,19.0,160.0,48.0
438,16.0,160.0,62.0
439,20.0,160.0,62.0
440,20.0,160.0,62.0
441,24.0,160.0,62.0
442,24.0,160.0,62.0
443,25.0,165.0,55.0
444,25.0,165.0,55.0
445,25.0,165.0,55.0
446,25.0,165.0,55.0
447,25.0,163.0,46.0
448,29.0,163.0,46.0
449,22.0,184.0,85.0
450,30.0,184.0,85.0
451,18.0,153.0,48.0
452,18.0,153.0,48.0
453,18.0,153.0,48.0
454,22.0,176.0,66.0
455,37.0,174.0,63.0
456,23.0,173.0,61.0
457,22.0,166.0,58.0
458,24.0,192.0,68.0
459,27.0,186.0,84.0
460,30.0,186.0,84.0
461,34.0,186.0,84.0
462,23.0,181.0,76.0
463,19.0,181.0,78.0
464,17.0,190.0,73.0
465,30.0,170.0,60.0
466,27.0,181.0,78.0
467,23.0,187.0,75.0
468,34.0,165.0,75.0
469,38.0,165.0,75.0
470,40.0,165.0,75.0
471,44.0,165.0,75.0
472,48.0,165.0,75.0
473,22.0,182.0,84.0
474,24.0,173.0,66.0
475,21.0,159.0,40.0
476,21.0,159.0,40.0
477,25.0,159.0,40.0
478,25.0,159.0,40.0
479,30.0,160.0,53.0
480,30.0,160.0,53.0
481,20.0,180.0,74.0
482,24.0,166.0,52.0
483,26.0,180.0,80.0
484,30.0,180.0,80.0
485,42.0,180.0,80.0
486,23.0,177.0,68.0
487,27.0,177.0,68.0
488,31.0,177.0,68.0
489,21.0,179.0,63.0
490,19.0,156.0,46.0
491,22.0,179.0,72.0
492,27.0,160.0,78.0
493,19.0,169.0,62.0
494,24.0,173.0,53.0
495,27.0,162.0,56.0
496,25.0,172.0,82.0
497,29.0,172.0,82.0
498,27.0,168.0,60.0
499,31.0,168.0,60.0
500,24.0,159.0,54.0
501,35.0,170.0,68.0
502,28.0,159.0,54.0
503,32.0,159.0,54.0
504,22.0,150.0,43.0
505,26.0,164.0,58.0
506,29.0,163.0,48.0
507,21.0,175.0,75.0
508,22.0,169.0,68.0
509,26.0,169.0,68.0
510,30.0,169.0,68.0
511,19.0,182.0,68.0
512,19.0,161.0,62.0
513,19.0,161.0,62.0
514,19.0,161.0,62.0
515,24.0,161.0,62.0
516,24.0,161.0,62.0
517,24.0,174.0,62.0
518,23.0,182.0,78.0
519,20.0,176.0,70.0
520,17.0,170.0,53.0
521,22.0,190.0,78.0
522,26.0,175.0,61.0
523,26.0,175.0,61.0
524,19.0,169.0,60.0
525,17.0,166.0,60.0
526,17.0,166.0,60.0
527,17.0,166.0,60.0
528,25.0,168.0,59.0
529,30.0,197.0,92.0
530,30.0,197.0,92.0
531,27.0,210.0,88.0
532,28.0,170.0,64.0
533,28.0,170.0,64.0
534,32.0,170.0,64.0
535,32.0,170.0,64.0
536,24.0,175.0,74.0
537,25.0,186.0,86.0
538,33.0,186.0,86.0
539,41.0,186.0,86.0
540,27.0,188.0,85.0
541,29.0,205.0,102.0
542,20.0,168.0,54.0
543,30.0,181.0,76.0
544,30.0,182.0,79.0
545,22.0,187.0,82.0
546,30.0,187.0,82.0
547,21.0,170.0,48.0
548,20.0,171.0,65.0
549,21.0,190.0,65.0
550,25.0,190.0,65.0
551,22.0,170.0,51.0
552,23.0,175.0,75.0
553,22.0,178.0,67.0
554,31.0,180.0,64.0
555,28.0,183.0,85.0
556,21.0,188.0,87.0
557,21.0,188.0,87.0
558,25.0,188.0,87.0
559,25.0,188.0,87.0
560,26.0,178.0,81.0
561,33.0,182.0,77.0
562,22.0,193.0,78.0
563,24.0,174.0,68.0
564,25.0,186.0,84.0
565,21.0,192.0,88.0
566,21.0,192.0,88.0
567,25.0,192.0,88.0
568,17.0,175.0,64.0
569,17.0,175.0,64.0
570,21.0,175.0,64.0
571,21.0,175.0,64.0
572,21.0,175.0,64.0
573,19.0,170.0,62.0
574,33.0,178.0,61.0
575,19.0,167.0,53.0
576,19.0,167.0,53.0
577,23.0,167.0,53.0
578,23.0,167.0,53.0
579,27.0,167.0,53.0
580,31.0,167.0,53.0
581,21.0,180.0,70.0
582,25.0,191.0,84.0
583,29.0,191.0,84.0
584,33.0,191.0,84.0
585,29.0,178.0,68.0
586,22.0,179.0,72.0
587,22.0,179.0,72.0
588,23.0,173.0,65.0
589,23.0,173.0,65.0
590,20.0,183.0,75.0
591,20.0,183.0,75.0
592,20.0,183.0,75.0
593,20.0,183.0,75.0
594,24.0,183.0,75.0
595,19.0,183.0,87.0
596,23.0,183.0,87.0
597,26.0,162.0,67.0
598,24.0,190.0,88.0
599,28.0,190.0,88.0
600,24.0,187.0,77.0
601,22.0,172.0,61.0
602,28.0,180.0,72.0
603,28.0,180.0,72.0
