,Age,Height,Weight,Anomalies
354,21.0,188.0,77.0,1
355,25.0,188.0,77.0,1
356,28.0,188.0,91.0,1
357,27.0,164.0,60.0,1
358,32.0,164.0,60.0,1
359,22.0,169.0,63.0,1
360,26.0,169.0,63.0,1
361,22.0,190.0,130.0,-1
362,26.0,190.0,130.0,-1
363,25.0,167.0,55.0,1
364,29.0,167.0,55.0,1
365,33.0,167.0,55.0,1
366,21.0,170.0,47.0,-1
367,27.0,175.0,74.0,1
368,16.0,162.0,72.0,-1
369,20.0,162.0,72.0,1
370,23.0,168.0,68.0,1
371,20.0,168.0,62.0,1
372,15.0,170.0,59.0,-1
373,19.0,170.0,59.0,1
374,19.0,170.0,59.0,1
375,18.0,150.0,60.0,-1
376,19.0,181.0,66.0,1
377,23.0,181.0,66.0,1
378,33.0,178.0,74.0,1
379,21.0,162.0,69.0,1
380,25.0,162.0,69.0,1
381,23.0,202.0,104.0,-1
382,22.0,178.0,73.0,1
383,19.0,183.0,74.0,1
384,23.0,183.0,74.0,1
385,26.0,172.0,74.0,1
386,29.0,192.0,117.0,-1
387,26.0,172.0,60.0,1
388,26.0,170.0,84.0,1
389,30.0,170.0,84.0,1
390,34.0,170.0,84.0,1
391,26.0,190.0,125.0,-1
392,34.0,190.0,125.0,-1
393,24.0,174.0,72.0,1
394,32.0,174.0,72.0,1
395,18.0,162.0,54.0,1
396,24.0,177.0,75.0,1
397,24.0,178.0,67.0,1
398,24.0,178.0,67.0,1
399,28.0,178.0,67.0,1
400,28.0,178.0,67.0,1
401,25.0,166.0,69.0,1
402,23.0,168.0,68.0,1
403,25.0,167.0,62.0,1
404,22.0,175.0,64.0,1
405,22.0,175.0,64.0,1
406,26.0,175.0,64.0,1
407,23.0,173.0,68.0,1
408,23.0,173.0,68.0,1
409,24.0,178.0,70.0,1
410,28.0,178.0,70.0,1
411,21.0,179.0,91.0,1
412,29.0,179.0,91.0,1
413,26.0,166.0,57.0,1
414,21.0,190.0,80.0,1
415,25.0,190.0,80.0,1
416,29.0,190.0,80.0,1
417,28.0,170.0,60.0,1
418,18.0,168.0,60.0,1
419,31.0,175.0,67.0,1
420,22.0,177.0,75.0,1
421,21.0,160.0,50.0,1
422,21.0,160.0,50.0,1
423,22.0,173.0,62.0,1
424,23.0,170.0,51.0,1
425,27.0,180.0,83.0,1
426,31.0,180.0,83.0,1
427,22.0,194.0,92.0,1
428,26.0,194.0,92.0,1
429,19.0,169.0,48.0,-1
430,19.0,190.0,73.0,1
431,20.0,163.0,52.0,1
432,23.0,185.0,102.0,1
433,19.0,183.0,80.0,1
434,23.0,183.0,80.0,1
435,19.0,160.0,48.0,1
436,19.0,160.0,48.0,1
437,19.0,160.0,48.0,1
438,16.0,160.0,62.0,-1
439,20.0,160.0,62.0,1
440,20.0,160.0,62.0,1
441,24.0,160.0,62.0,1
442,24.0,160.0,62.0,1
443,25.0,165.0,55.0,1
444,25.0,165.0,55.0,1
445,25.0,165.0,55.0,1
446,25.0,165.0,55.0,1
447,25.0,163.0,46.0,1
448,29.0,163.0,46.0,1
449,22.0,184.0,85.0,1
450,30.0,184.0,85.0,1
451,18.0,153.0,48.0,-1
452,18.0,153.0,48.0,-1
453,18.0,153.0,48.0,-1
454,22.0,176.0,66.0,1
455,37.0,174.0,63.0,1
456,23.0,173.0,61.0,1
457,22.0,166.0,58.0,1
458,24.0,192.0,68.0,1
459,27.0,186.0,84.0,1
460,30.0,186.0,84.0,1
461,34.0,186.0,84.0,1
462,23.0,181.0,76.0,1
463,19.0,181.0,78.0,1
464,17.0,190.0,73.0,-1
465,30.0,170.0,60.0,1
466,27.0,181.0,78.0,1
467,23.0,187.0,75.0,1
468,34.0,165.0,75.0,1
469,38.0,165.0,75.0,1
470,40.0,165.0,75.0,-1
471,44.0,165.0,75.0,-1
472,48.0,165.0,75.0,-1
473,22.0,182.0,84.0,1
474,24.0,173.0,66.0,1
475,21.0,159.0,40.0,-1
476,21.0,159.0,40.0,-1
477,25.0,159.0,40.0,-1
478,25.0,159.0,40.0,-1
479,30.0,160.0,53.0,1
480,30.0,160.0,53.0,1
481,20.0,180.0,74.0,1
482,24.0,166.0,52.0,1
483,26.0,180.0,80.0,1
484,30.0,180.0,80.0,1
485,42.0,180.0,80.0,-1
486,23.0,177.0,68.0,1
487,27.0,177.0,68.0,1
488,31.0,177.0,68.0,1
489,21.0,179.0,63.0,1
490,19.0,156.0,46.0,-1
491,22.0,179.0,72.0,1
492,27.0,160.0,78.0,1
493,19.0,169.0,62.0,1
494,24.0,173.0,53.0,1
495,27.0,162.0,56.0,1
496,25.0,172.0,82.0,1
