,index,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Age,Height,Weight
27074,245968,123164,,M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Silver,21.0,192.0,73.0
27075,245973,123167,,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Individual",Bronze,40.0,173.0,70.0
27076,245974,123167,,M,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,40.0,173.0,70.0
27077,245995,123181,,M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Silver,24.0,181.0,76.0
27078,245997,123183,,F,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,Silver,21.0,166.0,68.0
27079,245998,123183,,F,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,Bronze,25.0,166.0,68.0
27080,246016,123189,,M,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Gold,23.0,181.0,64.0
27081,246022,123189,,M,Germany,GER,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,31.0,181.0,64.0
27082,246036,123195,,M,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze,26.0,199.0,93.0
27083,246051,123205,,M,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,Gold,26.0,192.0,67.0
27084,246057,123209,,M,Finland,FIN,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,25.0,169.0,57.0
27085,246062,123212,,M,Soviet Union,URS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,26.0,175.0,86.0
27086,246071,123219,,M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold,28.0,173.0,73.0
27087,246072,123219,,M,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold,32.0,173.0,73.0
27088,246073,123219,,M,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Silver,36.0,173.0,73.0
27089,246079,123221,,M,Yugoslavia,YUG,1988 Winter,1988,Winter,Calgary,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,25.0,176.0,60.0
27090,246080,123222,,M,Soviet Union-1,URS,1972 Winter,1972,Winter,Sapporo,Figure Skating,Figure Skating Mixed Pairs,Gold,24.0,176.0,71.0
27091,246081,123223,,M,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,22.0,175.0,85.0
27092,246082,123224,,M,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Silver,25.0,188.0,82.0
27093,246088,123229,,M,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Gold,25.0,187.0,88.0
27094,246095,123234,,M,Russia,RUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver,30.0,181.0,77.0
27095,246110,123241,,F,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,25.0,157.0,59.0
27096,246118,123248,,M,Germany,GER,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Bronze,28.0,170.0,75.0
27097,246120,123249,,M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,28.0,187.0,88.0
27098,246121,123249,,M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,28.0,187.0,88.0
27099,246123,123249,,M,Sweden,SWE,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze,39.0,187.0,88.0
27100,246133,123253,,M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,Silver,22.0,178.0,76.0
27101,246134,123254,,M,East Germany,GDR,1976 Winter,1976,Winter,Innsbruck,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze,18.0,185.0,77.0
27102,246135,123254,,M,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 10 kilometres Sprint,Gold,22.0,185.0,77.0
27103,246136,123254,,M,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 20 kilometres,Silver,22.0,185.0,77.0
27104,246137,123254,,M,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver,22.0,185.0,77.0
27105,246142,123256,,M,Germany,GER,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",Gold,26.0,183.0,73.0
27106,246143,123256,,M,Germany,GER,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Individual Time Trial,Silver,26.0,183.0,73.0
27107,246154,123261,,M,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,24.0,188.0,83.0
27108,246155,123261,,M,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,28.0,188.0,83.0
27109,246163,123264,,F,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Gold,28.0,167.0,64.0
27110,246171,123270,,M,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Pairs,Gold,22.0,194.0,103.0
27111,246172,123270,,M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Pairs,Gold,26.0,194.0,103.0
27112,246183,123275,,M,Germany,GER,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,Bronze,21.0,184.0,82.0
27113,246189,123279,,M,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Middleweight,Bronze,24.0,170.0,80.0
27114,246198,123284,,M,Norway,NOR,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze,24.0,180.0,73.0
27115,246201,123284,,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Gold,28.0,180.0,73.0
27116,246202,123284,,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold,28.0,180.0,73.0
27117,246204,123284,,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Silver,28.0,180.0,73.0
27118,246205,123284,,M,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold,28.0,180.0,73.0
27119,246208,123284,,M,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver,30.0,180.0,73.0
27120,246216,123288,,M,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 800 metres,Bronze,26.0,178.0,74.0
27121,246217,123288,,M,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,26.0,178.0,74.0
27122,246219,123290,,M,Russia,RUS,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,23.0,164.0,61.5
27123,246225,123293,,F,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Eights,Silver,24.0,177.0,79.0
27124,246226,123294,,M,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze,21.0,172.0,72.0
27125,246227,123295,,M,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze,19.0,172.0,75.0
